Date	Time	---	cm/s
980815	16:48	862	148.63
980815	16:58	862	129.07
980815	17:08	862	167.2
980815	17:18	862	125.65
980815	17:28	862	185.78
980815	17:38	862	75.78
980815	17:48	862	7.82
980815	17:58	862	4.4
980815	18:08	862	6.36
980815	18:18	862	7.82
980815	18:28	862	6.84
980815	18:38	862	3.42
980815	18:48	862	9.29
980815	18:58	862	6.36
980815	19:08	862	5.38
980815	19:18	862	4.4
980815	19:28	862	3.91
980815	19:38	862	0
980815	19:48	862	2.44
980815	19:58	862	2.44
980815	20:08	862	1.96
980815	20:18	862	0.98
980815	20:28	862	1.96
980815	20:38	862	1.96
980815	20:48	862	4.89
980815	20:58	862	1.47
980815	21:08	862	3.42
980815	21:18	862	4.4
980815	21:28	862	4.4
980815	21:38	862	6.36
980815	21:48	862	4.4
980815	21:58	862	6.84
980815	22:08	862	4.4
980815	22:18	862	6.84
980815	22:28	862	6.84
980815	22:38	862	6.36
980815	22:48	862	3.91
980815	22:58	862	6.36
980815	23:08	862	5.87
980815	23:18	862	2.93
980815	23:28	862	5.38
980815	23:38	862	6.36
980815	23:48	862	8.31
980815	23:58	862	3.42
980816	0:08	862	5.87
980816	0:18	862	3.91
980816	0:28	862	2.93
980816	0:38	862	2.93
980816	0:48	862	4.4
980816	0:58	862	3.91
980816	1:08	862	3.42
980816	1:18	862	3.91
980816	1:28	862	2.44
980816	1:38	862	113.91
980816	1:48	862	191.65
980816	1:58	862	187.25
980816	2:08	862	163.29
980816	2:18	862	192.63
980816	2:28	862	195.07
980816	2:38	862	172.58
980816	2:48	862	176.49
980816	2:58	862	184.32
980816	3:08	862	174.05
980816	3:18	862	181.38
980816	3:28	862	183.34
980816	3:38	862	165.25
980816	3:48	862	190.67
980816	3:58	862	166.71
980816	4:08	862	195.56
980816	4:18	862	180.89
980816	4:28	862	203.38
980816	4:38	862	188.23
980816	4:48	862	182.85
980816	4:58	862	214.63
980816	5:08	862	186.27
980816	5:18	862	190.67
980816	5:28	862	177.47
980816	5:38	862	174.54
980816	5:48	862	130.54
980816	5:58	862	1.47
980816	6:08	862	2.44
980816	6:18	862	4.4
980816	6:28	862	10.27
980816	6:38	862	6.36
980816	6:48	862	4.89
980816	6:58	862	3.42
980816	7:08	862	6.84
980816	7:18	862	6.84
980816	7:28	862	5.38
980816	7:38	862	4.89
980816	7:48	862	2.93
980816	7:58	862	2.93
980816	8:08	862	1.96
980816	8:18	862	2.93
980816	8:28	862	2.44
980816	8:38	862	2.93
980816	8:48	862	2.93
980816	8:58	862	2.44
980816	9:08	862	3.91
980816	9:18	862	3.42
980816	9:28	862	3.91
980816	9:38	862	0.98
980816	9:48	862	3.42
980816	9:58	862	3.42
980816	10:08	862	5.38
980816	10:18	862	4.4
980816	10:28	862	2.93
980816	10:38	862	1.96
980816	10:48	862	1.47
980816	10:58	862	2.93
980816	11:08	862	3.42
980816	11:18	862	1.47
980816	11:28	862	2.44
980816	11:38	862	3.42
980816	11:48	862	1.47
980816	11:58	862	0.98
980816	12:08	862	0.49
980816	12:18	862	0.98
980816	12:28	862	3.91
980816	12:38	862	4.89
980816	12:48	862	4.89
980816	12:58	862	2.93
980816	13:08	862	5.87
980816	13:18	862	5.87
980816	13:28	862	5.38
980816	13:38	862	3.91
980816	13:48	862	7.82
980816	13:58	862	4.89
980816	14:08	862	7.33
980816	14:18	862	3.91
980816	14:28	862	7.82
980816	14:38	862	5.38
980816	14:48	862	6.84
980816	14:58	862	5.38
980816	15:08	862	4.89
980816	15:18	862	22.98
980816	15:28	862	129.56
980816	15:38	862	164.76
980816	15:48	862	150.58
980816	15:58	862	162.31
980816	16:08	862	158.4
980816	16:18	862	162.8
980816	16:28	862	157.91
980816	16:38	862	168.67
980816	16:48	862	163.29
980816	16:58	862	171.6
980816	17:08	862	180.4
980816	17:18	862	141.29
980816	17:28	862	183.83
980816	17:38	862	174.54
980816	17:48	862	165.74
980816	17:58	862	150.09
980816	18:08	862	185.78
980816	18:18	862	172.58
980816	18:28	862	183.34
980816	18:38	862	180.4
980816	18:48	862	211.69
980816	18:58	862	58.67
980816	19:08	862	2.44
980816	19:18	862	2.44
980816	19:28	862	3.42
980816	19:38	862	3.91
980816	19:48	862	2.93
980816	19:58	862	8.31
980816	20:08	862	8.31
980816	20:18	862	7.82
980816	20:28	862	2.93
980816	20:38	862	5.38
980816	20:48	862	3.42
980816	20:58	862	1.47
980816	21:08	862	4.89
980816	21:18	862	0.49
980816	21:28	862	1.47
980816	21:38	862	1.47
980816	21:48	862	4.4
980816	21:58	862	0.49
980816	22:08	862	3.91
